Roll Number,Department
22H71A04D6,ECE
22H71A04D7,ECE
22H71A04D8,ECE
22H71A04D9,ECE
22H71A04E0,ECE
22H71A04E1,ECE
22H71A04E2,ECE
22H71A04E3,ECE
22H71A04E4,ECE
22H71A04E5,ECE
22H71A04E6,ECE
22H71A04E7,ECE
22H71A04E8,ECE
22H71A04E9,ECE
22H71A04F0,ECE
22H71A04F1,ECE
22H71A04F2,ECE
22H71A04F3,ECE
22H71A04F4,ECE
22H71A04F5,ECE
22H71A04F6,ECE
22H71A04F7,ECE
22H71A04F8,ECE
22H71A04F9,ECE
22H71A04G0,ECE
22H71A04G1,ECE
22H71A04G2,ECE
22H71A04G3,ECE
22H71A04G4,ECE
22H71A0501,CSE
22H71A0502,CSE
22H71A0503,CSE
22H71A0504,CSE
22H71A0505,CSE
22H71A0506,CSE
22H71A0507,CSE
22H71A0508,CSE
22H71A0509,CSE
22H71A0510,CSE
22H71A0512,CSE
22H71A0513,CSE
22H71A0514,CSE
22H71A0515,CSE
22H71A0516,CSE
22H71A0517,CSE
22H71A0518,CSE
22H71A0519,CSE
22H71A0520,CSE
22H71A0521,CSE
22H71A0522,CSE
22H71A0523,CSE
22H71A0524,CSE
22H71A0525,CSE
22H71A0526,CSE
22H71A0527,CSE
22H71A0528,CSE
22H71A0529,CSE
22H71A0530,CSE
22H71A0531,CSE
22H71A0532,CSE
22H71A0533,CSE
22H71A0534,CSE
22H71A0535,CSE
22H71A0536,CSE
22H71A0537,CSE
22H71A0538,CSE
22H71A0539,CSE
22H71A0540,CSE
22H71A0541,CSE
22H71A0542,CSE
22H71A0543,CSE
22H71A0544,CSE
22H71A0545,CSE
22H71A0546,CSE
22H71A0547,CSE
22H71A0548,CSE
22H71A0549,CSE
22H71A0550,CSE
22H71A0551,CSE
22H71A0552,CSE
22H71A0553,CSE
22H71A0554,CSE
22H71A0555,CSE
22H71A0556,CSE
22H71A0557,CSE
22H71A0558,CSE
22H71A0559,CSE
22H71A0560,CSE
22H71A0561,CSE
22H71A0562,CSE
22H71A0563,CSE
22H71A0564,CSE
22H71A0565,CSE
22H71A0566,CSE
22H71A0567,CSE
22H71A0568,CSE
22H71A0569,CSE
22H71A0570,CSE
22H71A0571,CSE
22H71A0572,CSE
22H71A0573,CSE
22H71A0574,CSE
22H71A0575,CSE
22H71A0576,CSE
22H71A0577,CSE
22H71A0578,CSE
22H71A0579,CSE
22H71A0580,CSE
22H71A0581,CSE
22H71A0582,CSE
22H71A0583,CSE
22H71A0584,CSE
22H71A0585,CSE
22H71A0586,CSE
22H71A0587,CSE
22H71A0588,CSE
22H71A0589,CSE
22H71A0590,CSE
22H71A0591,CSE
22H71A0592,CSE
22H71A0593,CSE
22H71A0594,CSE
22H71A0595,CSE
22H71A0596,CSE
22H71A0597,CSE
22H71A0598,CSE
22H71A0599,CSE
22H71A05A0,CSE
22H71A05A1,CSE
22H71A05A2,CSE
22H71A05A3,CSE
22H71A05A4,CSE
22H71A05A5,CSE
22H71A05A6,CSE
22H71A05A7,CSE
22H71A05A8,CSE
22H71A05A9,CSE
22H71A05B0,CSE
22H71A05B1,CSE
22H71A05B2,CSE
22H71A05B3,CSE
22H71A05B4,CSE
22H71A05B5,CSE
22H71A05B6,CSE
22H71A05B7,CSE
22H71A05B8,CSE
22H71A05B9,CSE
22H71A05C0,CSE
22H71A05C1,CSE
22H71A05C2,CSE
22H71A05C3,CSE
22H71A05C4,CSE
22H71A05C5,CSE
22H71A05C6,CSE
22H71A05C7,CSE
22H71A05C8,CSE
22H71A05C9,CSE
22H71A05D0,CSE
22H71A05D1,CSE
22H71A05D2,CSE
22H71A05D3,CSE
22H71A05D4,CSE
