Roll Number,Department
23H71A0482,ECE
23H71A0483,ECE
23H71A0484,ECE
23H71A0485,ECE
23H71A0486,ECE
23H71A0487,ECE
23H71A0488,ECE
23H71A0489,ECE
23H71A0490,ECE
23H71A0491,ECE
23H71A0492,ECE
23H71A0493,ECE
23H71A0494,ECE
23H71A0495,ECE
23H71A0496,ECE
23H71A0497,ECE
23H71A0498,ECE
23H71A0499,ECE
23H71A04A0,ECE
23H71A04A1,ECE
23H71A04A2,ECE
23H71A04A3,ECE
23H71A04A4,ECE
23H71A04A5,ECE
23H71A04A6,ECE
23H71A04A7,ECE
23H71A04A8,ECE
23H71A04A9,ECE
23H71A04B0,ECE
23H71A04B1,ECE
23H71A04B2,ECE
23H71A04B3,ECE
23H71A04B4,ECE
23H71A04B5,ECE
23H71A04B6,ECE
23H71A04B7,ECE
23H71A04B8,ECE
23H71A04B9,ECE
23H71A04C0,ECE
23H71A04C1,ECE
23H71A04C2,ECE
23H71A04C3,ECE
23H71A04C4,ECE
23H71A04C5,ECE
23H71A04C6,ECE
23H71A04C7,ECE
23H71A04C8,ECE
23H71A04C9,ECE
23H71A04D0,ECE
23H71A04D1,ECE
23H71A04D2,ECE
23H71A04D3,ECE
23H71A04D4,ECE
23H71A04D5,ECE
23H71A04D6,ECE
23H71A04D7,ECE
23H71A04D8,ECE
23H71A04D9,ECE
23H71A04E0,ECE
23H71A04E1,ECE
23H71A04E2,ECE
23H71A04E3,ECE
23H71A04E4,ECE
23H71A04E5,ECE
23H71A04E6,ECE
23H71A04E7,ECE
23H71A04E8,ECE
23H71A04E9,ECE
23H71A04F0,ECE
23H71A04F1,ECE
23H71A04F2,ECE
23H71A04F3,ECE
23H71A04F4,ECE
23H71A04F5,ECE
23H71A04F6,ECE
23H71A04F7,ECE
23H71A04F8,ECE
23H71A04F9,ECE
23H71A04G0,ECE
23H71A04G1,ECE
23H71A04G2,ECE
23H71A04G3,ECE
23H71A04G4,ECE
23H71A04G5,ECE
23H71A04G6,ECE
23H71A04G7,ECE
23H71A04G8,ECE
23H71A04G9,ECE
23H71A04H0,ECE
23H71A04H1,ECE
23H71A04H2,ECE
23H71A04H3,ECE
23H71A04H4,ECE
23H71A04H5,ECE
23H71A04H6,ECE
23H71A04H7,ECE
23H71A04H8,ECE
23H71A04H9,ECE
23H71A04I0,ECE
23H71A04I1,ECE
23H71A04I2,ECE
23H71A04I3,ECE
23H71A04I4,ECE
23H71A04I5,ECE
23H71A04I6,ECE
23H71A0501,CSE
23H71A0502,CSE
23H71A0503,CSE
23H71A0504,CSE
23H71A0505,CSE
23H71A0506,CSE
23H71A0507,CSE
23H71A0508,CSE
23H71A0509,CSE
23H71A0510,CSE
23H71A0511,CSE
23H71A0512,CSE
23H71A0513,CSE
23H71A0514,CSE
23H71A0515,CSE
23H71A0516,CSE
23H71A0517,CSE
23H71A0518,CSE
23H71A0519,CSE
23H71A0520,CSE
