Roll Number,Department
21H71A0598,CSE
21H71A0599,CSE
21H71A05A0,CSE
21H71A05A1,CSE
21H71A05A2,CSE
21H71A05A3,CSE
21H71A05A4,CSE
21H71A05A5,CSE
21H71A05A6,CSE
21H71A05A7,CSE
21H71A05A8,CSE
21H71A05A9,CSE
21H71A05B0,CSE
21H71A05B1,CSE
21H71A05B2,CSE
21H71A05B3,CSE
21H71A05B4,CSE
21H71A05B5,CSE
21H71A05B6,CSE
21H71A05B7,CSE
21H71A05B8,CSE
21H71A05B9,CSE
21H71A05C0,CSE
21H71A05C1,CSE
21H71A05C2,CSE
21H71A05C3,CSE
21H71A05C4,CSE
21H71A05C5,CSE
21H71A05C6,CSE
21H71A05C7,CSE
21H71A05C8,CSE
21H71A05C9,CSE
21H71A05D0,CSE
21H71A05D1,CSE
21H71A05D2,CSE
21H71A05D3,CSE
21H71A05D4,CSE
21H71A05D5,CSE
21H71A05D6,CSE
21H71A05D7,CSE
21H71A05D8,CSE
21H71A05D9,CSE
21H71A05E0,CSE
21H71A05E1,CSE
21H71A05E2,CSE
21H71A05E3,CSE
21H71A05E4,CSE
21H71A05E5,CSE
21H71A05E6,CSE
21H71A05E7,CSE
21H71A05E8,CSE
21H71A05E9,CSE
21H71A05F0,CSE
21H71A05F1,CSE
21H71A05F2,CSE
21H71A05F3,CSE
21H71A05F4,CSE
21H71A05F5,CSE
21H71A05F6,CSE
21H71A05F7,CSE
21H71A05F8,CSE
21H71A05F9,CSE
21H71A05G0,CSE
21H71A05G1,CSE
21H71A05G2,CSE
21H71A05G3,CSE
21H71A05G4,CSE
21H71A05G5,CSE
21H71A05G6,CSE
21H71A05G7,CSE
21H71A05G8,CSE
21H71A05G9,CSE
21H71A05H0,CSE
21H71A05H1,CSE
21H71A05H2,CSE
21H71A05H3,CSE
21H71A05H4,CSE
21H71A05H5,CSE
21H71A05H6,CSE
21H71A05H7,CSE
21H71A05H8,CSE
21H71A05H9,CSE
21H71A05I0,CSE
21H71A05I1,CSE
21H71A05I2,CSE
21H71A05I3,CSE
21H71A05I4,CSE
21H71A05I5,CSE
21H71A05I6,CSE
21H71A05I7,CSE
21H71A05I8,CSE
21H71A05I9,CSE
21H71A05J0,CSE
21H71A05J1,CSE
21H71A05J2,CSE
21H71A05J3,CSE
21H71A05J4,CSE
21H71A05J5,CSE
21H71A05J6,CSE
21H71A05J7,CSE
21H71A1201,IT
21H71A1202,IT
21H71A1203,IT
21H71A1204,IT
21H71A1205,IT
21H71A1206,IT
21H71A1207,IT
21H71A1208,IT
21H71A1209,IT
21H71A1210,IT
21H71A1211,IT
21H71A1212,IT
21H71A1213,IT
21H71A1214,IT
21H71A1215,IT
21H71A1216,IT
21H71A1217,IT
21H71A1218,IT
21H71A1219,IT
21H71A1220,IT
21H71A1221,IT
21H71A1222,IT
21H71A1223,IT
21H71A1224,IT
21H71A1225,IT
21H71A1226,IT
21H71A1227,IT
21H71A1228,IT
21H71A1229,IT
21H71A1230,IT
21H71A1231,IT
21H71A1232,IT
21H71A1233,IT
21H71A1234,IT
21H71A1235,IT
21H71A1236,IT
21H71A1237,IT
21H71A1238,IT
21H71A1239,IT
21H71A1240,IT
21H71A1241,IT
21H71A1242,IT
21H71A1243,IT
21H71A1244,IT
21H71A1245,IT
21H71A1246,IT
21H71A1247,IT
21H71A1248,IT
21H71A1249,IT
21H71A1250,IT
21H71A1251,IT
21H71A1252,IT
21H71A1253,IT
21H71A1254,IT
21H71A1255,IT
21H71A1256,IT
21H71A1257,IT
21H71A1258,IT
21H71A1259,IT
21H71A1260,IT
21H71A1261,IT
21H71A1262,IT
21H71A1263,IT
21H71A1264,IT
21H71A1265,IT
21H71A1266,IT
21H71A5401,AIDS
21H71A5402,AIDS
21H71A5403,AIDS
21H71A5404,AIDS
21H71A5405,AIDS
21H71A5406,AIDS
21H71A5407,AIDS
21H71A5408,AIDS
21H71A5409,AIDS
21H71A5410,AIDS
21H71A5411,AIDS
21H71A5412,AIDS
21H71A5413,AIDS
21H71A5414,AIDS
21H71A5415,AIDS
21H71A5416,AIDS
21H71A5417,AIDS
21H71A5418,AIDS
21H71A5419,AIDS
21H71A5420,AIDS
21H71A5421,AIDS
21H71A5422,AIDS
21H71A5423,AIDS
21H71A5424,AIDS
21H71A5425,AIDS
21H71A5426,AIDS
21H71A5427,AIDS
21H71A5428,AIDS
21H71A5429,AIDS
21H71A5430,AIDS
21H71A5431,AIDS
21H71A5432,AIDS
21H71A5433,AIDS
21H71A5434,AIDS
21H71A5435,AIDS
21H71A5436,AIDS
21H71A5437,AIDS
21H71A5438,AIDS
21H71A5439,AIDS
21H71A5440,AIDS
21H71A5441,AIDS
21H71A5442,AIDS
21H71A5443,AIDS
21H71A5444,AIDS
21H71A5445,AIDS
21H71A5446,AIDS
21H71A5447,AIDS
21H71A5448,AIDS
21H71A5449,AIDS
21H71A5450,AIDS
21H71A5451,AIDS
21H71A5452,AIDS
21H71A5453,AIDS
21H71A5454,AIDS
21H71A5455,AIDS
21H71A5456,AIDS
21H71A5457,AIDS
21H71A5458,AIDS
21H71A5459,AIDS
21H71A5460,AIDS
21H71A5461,AIDS
21H71A5462,AIDS
21H71A5463,AIDS
21H71A5464,AIDS
21H71A5465,AIDS
21H71A5466,AIDS
21H71A6101,AIML
21H71A6102,AIML
21H71A6103,AIML
21H71A6104,AIML
21H71A6105,AIML
21H71A6106,AIML
21H71A6107,AIML
21H71A6108,AIML
21H71A6109,AIML
21H71A6110,AIML
21H71A6111,AIML
21H71A6112,AIML
21H71A6113,AIML
21H71A6114,AIML
21H71A6115,AIML
21H71A6116,AIML
21H71A6117,AIML
21H71A6118,AIML
21H71A6119,AIML
21H71A6120,AIML
21H71A6121,AIML
21H71A6122,AIML
21H71A6123,AIML
21H71A6124,AIML
21H71A6125,AIML
21H71A6126,AIML
21H71A6127,AIML
21H71A6128,AIML
21H71A6129,AIML
21H71A6130,AIML
21H71A6131,AIML
21H71A6132,AIML
21H71A6133,AIML
21H71A6134,AIML
21H71A6135,AIML
21H71A6136,AIML
21H71A6137,AIML
21H71A6138,AIML
21H71A6139,AIML
21H71A6140,AIML
21H71A6141,AIML
21H71A6142,AIML
21H71A6143,AIML
21H71A6144,AIML
21H71A6145,AIML
21H71A6146,AIML
21H71A6147,AIML
21H71A6148,AIML
21H71A6149,AIML
21H71A6150,AIML
21H71A6151,AIML
21H71A6152,AIML
21H71A6153,AIML
21H71A6154,AIML
21H71A6155,AIML
21H71A6156,AIML
21H71A6157,AIML
21H71A6158,AIML
21H71A6159,AIML
21H71A6160,AIML
21H71A6161,AIML
21H71A6162,AIML
21H71A6163,AIML
21H71A6164,AIML
21H71A6165,AIML
21H71A6166,AIML
22H75A0101,CIVIL
22H75A0102,CIVIL
22H75A0103,CIVIL
22H75A0104,CIVIL
22H75A0105,CIVIL
22H75A0106,CIVIL
22H75A0107,CIVIL
22H75A0108,CIVIL
22H75A0109,CIVIL
22H75A0110,CIVIL
22H75A0111,CIVIL
22H75A0112,CIVIL
22H75A0113,CIVIL
22H75A0114,CIVIL
22H75A0115,CIVIL
22H75A0116,CIVIL
22H75A0117,CIVIL
22H75A0118,CIVIL
22H75A0119,CIVIL
22H75A0120,CIVIL
22H75A0201,EEE
22H75A0202,EEE
22H75A0203,EEE
22H75A0204,EEE
22H75A0205,EEE
22H75A0206,EEE
22H75A0207,EEE
22H75A0208,EEE
22H75A0209,EEE
22H75A0210,EEE
22H75A0211,EEE
22H75A0212,EEE
22H75A0213,EEE
22H75A0214,EEE
22H75A0215,EEE
22H75A0216,EEE
22H75A0217,EEE
22H75A0218,EEE
22H75A0219,EEE
22H75A0220,EEE
22H75A0221,EEE
22H75A0222,EEE
22H75A0223,EEE
22H75A0224,EEE
22H75A0225,EEE
22H75A0226,EEE
22H75A0227,EEE
22H75A0228,EEE
22H75A0229,EEE
22H75A0230,EEE
22H75A0231,EEE
22H75A0232,EEE
22H75A0233,EEE
22H75A0234,EEE
22H75A0235,EEE
22H75A0236,EEE
22H75A0237,EEE
22H75A0238,EEE
22H75A0239,EEE
22H75A0240,EEE
22H75A0301,MECH
22H75A0302,MECH
22H75A0303,MECH
22H75A0304,MECH
22H75A0305,MECH
22H75A0306,MECH
22H75A0307,MECH
22H75A0308,MECH
22H75A0309,MECH
22H75A0310,MECH
22H75A0311,MECH
22H75A0312,MECH
22H75A0313,MECH
22H75A0314,MECH
22H75A0315,MECH
22H75A0316,MECH
22H75A0317,MECH
22H75A0318,MECH
22H75A0319,MECH
22H75A0320,MECH
22H75A0321,MECH
22H75A0322,MECH
22H75A0323,MECH
22H75A0324,MECH
22H75A0325,MECH
22H75A0326,MECH
22H75A0327,MECH
22H75A0328,MECH
22H75A0329,MECH
22H75A0330,MECH
22H75A0331,MECH
22H75A0332,MECH
22H75A0333,MECH
22H75A0334,MECH
22H75A0335,MECH
22H75A0336,MECH
22H75A0337,MECH
22H75A0338,MECH
22H75A0339,MECH
22H75A0340,MECH
22H75A0341,MECH
22H75A0342,MECH
22H75A0343,MECH
22H75A0344,MECH
22H75A0345,MECH
22H75A0346,MECH
22H75A0347,MECH
22H75A0348,MECH
22H75A0349,MECH
22H75A0350,MECH
22H75A0351,MECH
22H75A0401,ECE
22H75A0402,ECE
22H75A0403,ECE
22H75A0404,ECE
22H75A0405,ECE
22H75A0406,ECE
22H75A0407,ECE
22H75A0408,ECE
22H75A0409,ECE
22H75A0410,ECE
22H75A0411,ECE
22H75A0412,ECE
22H75A0413,ECE
22H75A0414,ECE
22H75A0415,ECE
22H75A0416,ECE
22H75A0417,ECE
22H75A0418,ECE
22H75A0419,ECE
22H75A0420,ECE
22H75A0421,ECE
22H75A0422,ECE
22H75A0423,ECE
22H75A0424,ECE
22H75A0425,ECE
22H75A0426,ECE
22H75A0427,ECE
22H75A0428,ECE
22H75A0429,ECE
22H75A0430,ECE
22H75A0431,ECE
22H75A0432,ECE
22H75A0433,ECE
22H75A0434,ECE
22H75A0435,ECE
22H75A0436,ECE
22H75A0438,ECE
22H75A0439,ECE
22H75A0440,ECE
22H75A0441,ECE
22H75A0501,CSE
22H75A0502,CSE
22H75A0503,CSE
22H75A0504,CSE
22H75A0505,CSE
22H75A0506,CSE
22H75A0507,CSE
22H75A0508,CSE
22H75A0509,CSE
22H75A0510,CSE
22H75A0511,CSE
22H75A0512,CSE
22H75A0513,CSE
22H75A0514,CSE
22H75A0515,CSE
22H75A0516,CSE
22H75A0517,CSE
22H75A0518,CSE
22H75A0519,CSE
22H75A0520,CSE
22H75A1201,IT
22H75A1202,IT
22H75A1203,IT
22H75A1204,IT
22H75A1205,IT
22H75A1206,IT
22H75A5401,AIDS
22H75A5402,AIDS
22H75A5403,AIDS
22H75A5404,AIDS
22H75A5405,AIDS
22H75A5406,AIDS
22H75A6101,AIML
22H75A6102,AIML
22H75A6103,AIML
22H75A6104,AIML
22H75A6105,AIML
